"Date","City","State","Type","Description"
"06/22/2008","Southington","CT","Vandalism","Daniel Forgione and Alex Uliasz, both 18, were charged with desecration of property, a hate crime, criminal mischief and breach of peace after they allegedly spray-painted satanic symbols, swastikas and obscene remarks on a church."
"06/21/2008","Hewlett Harbor","NY","Vandalism","The words 'stop Jews' were spray-painted on a stop sign."
"06/21/2008","Richmond","TX","Vandalism","Racial epithets were spray-painted on residences and vehicles in a neighborhood."
"06/20/2008","East Falmouth","MA","Vandalism","Swastikas were spray-painted on four residences and three vehicles."
"06/20/2008","Parsippany","NJ","Intimidation","William Herdman, 28, was charged with criminal mischief and bias intimidation after he allegedly drove twice through a fence at an Indian man's residence because of the man's ethnicity."
"06/18/2008","Arapahoe","CO","Vandalism","A teen was arrested for allegedly painting swastikas on the garage door of a Jewish family whose son was harassed in middle school because of his religion. The teen faces charges of suspicion of ethnic intimidation and criminal mischief."
"06/17/2008","Brattleboro","VT","Threat","Larry Pratt Jr., 17, was charged with aggravated stalking with a deadly weapon, disorderly conduct - both motivated by the victim's race --, reckless endangerment and giving false information to a police officer after he allegedly shouted racial slurs at a group of black teenagers and threatened to shoot them. Pratt allegedly is a member of a hate group called the NHRA, or Nigger Hanging Redneck Association."
"06/16/2008","Memphis","TN","Assault","A transgender woman was allegedly beaten by a police officer inside the police station."
"06/15/2008","Suwanee","GA","Vandalism","Graffiti that included racist symbols, upside-down crosses and offensive language  was spray-painted at a church."
"06/15/2008","Lumberton","TX","Leafletting","Fliers from the white supremacist group White Heritage and Pride were posted on stop signs."
"06/13/2008","Suwanee","GA","Vandalism","Vandals had spray-painted racial epithets and hate symbols were scrawled on property of a Korean church."
"06/10/2008","Marshfield","MA","Assault","Michael R. Anderson, Jay P. Rains and Amanda L. Kelly, all 19, and Kevin P. Shdeed, 17, face hate-crime and assault charges for allegedly beating and stabbing a black man while yelling racial slurs."
"06/09/2008","Palmetto Bay","FL","Vandalism","Racist and anti-Semitic slurs were found painted on the walls of two buildings."
"06/08/2008","Chicago","IL","Assault","Mahmoud Alkhazaleh, 53, was charged with a hate crime, aggravated battery and vehicle invasion after he and his three sons allegedly pulled a white man out of a car, hit him and called him a racial slur. His sons, Ala Alkhazaleh, 27; Ali Alkhazaleh, 23; and Ahmad Alkhazaleh, 20, were charged with aggravated battery and vehicle invasion."
"06/08/2008","Flushing","NY","Harassment","A 12-year-old Sikh student's hair was sheared by a classmate because of the student's religion."
"06/06/2008","Lindenhurst","NY","Vandalism","Graffiti that included swastikas was drawn on parked cars."
"06/05/2008","Athens","OH","Harassment","Edward Mahony, a white student at Ohio University, was expelled for allegedly shouting racial slurs at two black women in the campus library and threatening to hit one of the women."
"06/05/2008","East Pennsboro Township","PA","Vandalism","The words 'KKK is Back' were written on an interstate overpass."
"06/04/2008","Denham Springs","LA","Vandalism","Racist slurs and the letters 'KKK' were spray-painted on a residence and a vehicle."
"06/02/2008","Lawrence","NY","Vandalism","Nazi graffiti was spray-painted on the side of a Jewish-owned store."
"06/01/2008","Beaver Falls","PA","Vandalism","Racial slurs and the letters 'KKK' were spray-painted on a house."
"05/29/2008","West Jordan","UT","Arson","A burning soda can full of gasoline was thrown through the window of a Catholic church."
"05/28/2008","Pleasant Springs","WI","Threat","Aaron M. Eggerichs, 26, faces tentative charges of three counts of second-degree recklessly endangering safety, three counts of disorderly conduct with a hate crime enhancer and drunken driving after he allegedly yelled threats and racial slurs at three employees at a fast-food restaurant because his food wasn't ready quickly enough."
"05/26/2008","West Linn","OR","Vandalism","Graffiti, including a swastika, was scrawled on the walls of a high school."
"05/23/2008","Hemet","CA","Vandalism","Swastikas, racial slurs and profanities were spray-painted on a middle school."
"05/23/2008","Stillwater","MN","Vandalism","Graffiti, including the letters 'KKK', was written on buildings, walls and signs."
"05/23/2008","Tremont","PA","Vandalism","The letters 'KKK' were written on a municipal building."
"05/22/2008","Tallahassee","FL","Legal Developments","Charles Marovskis, 29, a member of the white supremacist Tampa Blood and Honour, pleaded guilty to two federal charges of murder in racketeering in connection with the 1998 deaths of two homeless men. Prosecutors allege Tampa Blood and Honour planned to participate in a race war where they would kill people they deemed inferior."
"05/22/2008","Yonkers","NY","Vandalism","Chalk pictures depicting a black man, the words ""Dead Negro"" and ""Hate Crime"" and a German phrase were drawn on a sidewalk."
"05/21/2008","Boston","MA","Legal Developments","Kevin Cann Jr., 25, pleaded guilty to making a false statement to a federal agent who was investigating religiously motivated e-mail threats sent to a Jewish teen. Cann was placed on three years' probation, fined $750 and ordered to tour the Holocaust Museum."
"05/21/2008","Rochester","MN","Intimidation","Three teens were charged with bias crimes, including gross misdemeanor harassment, after they allegedly yelled racial slurs and spit on a person outside an Islamic center."
"05/20/2008","Hilo","HI","Legal Developments","Drosstain Edward Pua, Isaac K. Alani, Wyatt Kimo Alani Jr., Richard Aliiloa Kaleaohano Jr. and Thomas Kaupu  were all indicted on charges that included second-degree assault, third-degree assault and terroristic threatening after they allegedly attacked a group of nine campers because of their perceived race."
"05/20/2008","Burton","MI","Vandalism","Swastikas, racial slurs and other symbols were scrawled on residences."
"05/20/2008","Marshall","TX","Vandalism","The words 'White KKK Power' were spray- painted on a church."
"05/19/2008","Redwood City","CA","Assault","Herbert Santos-Coy, 30, was charged with assault and a felony hate crime after he allegedly attacked his gay neighbors while making anti-gay comments."
"05/19/2008","Grand Forks","ND","Vandalism","The fifth swastika in the past four months was drawn on a building on the University of North Dakota campus."
"05/18/2008","Fresno","CA","Legal Developments","Bradley Smith was convicted of the federal charge of race-based interference in connection with a series of racially motivated threats against a black man who moved into Smith's community of Modesto. The incidents stretched from June 2005 to May 2007. Smith also was convicted of providing a false statement to an agent of the FBI."
"05/18/2008","Jackson","NJ","Assault","Two 16-year-olds were charged with bias intimidation in a juvenile delinquency complaint after they allegedly assaulted a black man."
"05/17/2008","Incomplete","MD","Threat","An immigrant advocacy group received a profanity-laden phone death threat."
"05/16/2008","Kansas City","MO","Legal Developments","Steven Sandstrom, a 22-year-old white man, was sentenced to life in prison after being convicted on charges of murder, firearms violations and witness tampering for his involvement in the death of a black man, William McCay, in March 2005. Gary Eye, a 21-year-old white man, was also sentenced earlier in the week to life in prison for acting as the triggerman in McCay's murder."
"05/16/2008","Conemaugh","PA","Intimidation","Arthur D. Moss, a 22-year-old white man, and Shawn E. Lewis, a 20-year-old black man, were charged with simple assault, criminal mischief, disorderly conduct, four counts of terrorist threats and four counts of ethnic intimidation after they allegedly shouted anti-white remarks and threats to the white occupants of a car."
"05/16/2008","Port Richmond","PA","Leafletting","Fliers from the racist Keystone State Skinheads were distributed."
"05/16/2008","Hallsville","TX","Leafletting","Ku Klux Klan literature was left in driveways."
"05/15/2008","Brooklyn","NY","Legal Developments","Two black teens, Namor Clarke, 17, and Basean Parker, 14, were arrested for allegedly beating a Jewish youth."
"05/15/2008","Lansdowne","PA","Vandalism","A swastika was spray-painted on the garage of a black woman and her husband."
"05/14/2008","Sacramento","CA","Legal Developments","Gregory Lee Winfield and Robert Lee Denor, both 20, and Micah Jontomo Tasaki, 21, were charged on suspicion of five felonies, including two hate crime charges, for allegedly assaulting a gay man and his cousin."
"05/14/2008","Duncansville","PA","Vandalism","White supremacist graffiti was written on buildings and at a memorial park."
"05/14/2008","Bellingham","WA","Vandalism","A racial slur was spray-painted on a black man's vehicle."
"05/12/2008","Paramount","CA","Vandalism","The numbers '666' were scrawled on an apartment door and a racial epithet was written on a black family's door."
"05/12/2008","Farmington","NM","Legal Developments","Scott Thompson, 22, was convicted of kidnapping and aggravated battery for attacking a man who Thompson believed was gay."
"05/11/2008","Brooklyn","NY","Assault","Several black children allegedly threw rocks at a school bus full of Jewish children on their way home from yeshiva, breaking the bus windows."
"05/10/2008","Boulder","CO","Intimidation","Swastikas were drawn on the front door of a Jewish family's residence and a steak knife and a letter promoting suicide were left at the back door of the residence."
"05/09/2008","Trinidad","CA","Assault","Collin Gregory Roczey, 18, and Kevin Scott Wallace, 35, were arrested for allegedly beating a Latino man in a beach parking lot while yelling racial slurs."
"05/09/2008","Mason City","IA","Vandalism","A sign containing racial slurs was left at a black family's residence. Justin Hanson, 20, who said he was starting a local chapter of the neo-Nazi Free People's Party, was charged with third-degree harassment."
"05/07/2008","Arcata","CA","Vandalism","A trailer at the city's corporation yard was spray-painted with graffiti that included racial epithets. Other city vehicles were also damaged."
"05/07/2008","Eugene","OR","Vandalism","Graffiti that included slurs about race, religion, sexual orientation and naming specific employees was drawn on a middle school."
"05/06/2008","Nashua","NH","Vandalism","Racist graffiti was written on a mural celebrating the city's role in integrating baseball."
"05/06/2008","Dexter","NY","Harassment","Zachary S. Cushman, 16, was charged with second-degree aggravated harassment as a hate crime for allegedly targeting a 14-year-old black student with a drawing containing a racial slur and a depiction of a noose."
"05/05/2008","Santa Cruz","CA","Vandalism","Anti-Semitic graffiti depicting the images of the Star of David between what appears to be the World trade Center towers was found on a stall in a men's restroom at the university's Porter College."
"05/05/2008","Carson City","NV","Legal Developments","Matthew Cole Martin, 18, was placed on probation and ordered to pay restitution after he admitted defacing buildings in March with graffiti that advocated white supremacy and violence against Latinos."
"05/05/2008","Jamaica","NY","Vandalism","A sacred statue that was severed from its foundation and taken from a religious center May 6 in Jamaica Hill."
"05/04/2008","Lakewood Ranch","FL","Vandalism","A swastika was painted on the front door of a Jewish man's residence."
"05/04/2008","Hightstown","NJ","Legal Developments","Garrett Green, 18, pleaded not guilty to aggravated assault, bias intimidation, arson and criminal mischief after he allegedly set fire to a Sikh student's turban."
"05/02/2008","Phoenix","AZ","Assault","Two Mormon youths were allegedly beaten by two teens, ages 15 and 16, who fired a pellet gun at the youths and yelled anti-Mormon remarks. The two teens, both bearing swastika marks on their wrists, were charged with suspicion of aggravated assault, disorderly conduct and underage drinking."
"05/02/2008","Arlington","MA","Leafletting","Pamphlets from the neo-Nazi National Alliance were left at residences."
"05/02/2008","Platteville","WI","Assault","Four men allegedly yelled anti-gay epithets and attacked a student."
"05/01/2008","Panorama","CA","Arson","Two churches and a Jewish center were set afire with Molotov cocktails."
"05/01/2008","Palm City","FL","Vandalism","A swastika, a phallic symbol and the letters ""A"" and ""B"" were carved into the 15th green of a country club golf course."
"04/30/2008","Mobile","AL","Intimidation","A noose was found hanging from the rafters of a building at a shipyard."
"04/30/2008","Boise","ID","Vandalism","The word 'forgive' appeared on the center of new mural on the side of the Idaho Human Rights Education Center."
"04/30/2008","Brooklyn","NY","Threat","The first black Surrogate Court judge received a letter containing death threats toward her and her son."
"04/29/2008","Miami","FL","Vandalism","Swastikas were spray-painted on a synagogue two days before the Jewish observance of Yom HaShoah, or Holocaust Remembrance Day."
"04/29/2008","Parkland","FL","Vandalism","Swastikas were spray-painted on a synagogue and the words '4 Hitler' were spray-painted on a nearby stop sign."
"04/28/2008","Santa Cruz","CA","Vandalism","Anti-Semitic graffiti depicting the Star of David resting between the World Trade Center towers as an airplane approaches was scrawled on a wall outside a classroom at Oakes College."
"04/26/2008","Madison","WI","Vandalism","Three swastikas and the words 'die Jew' were drawn on a synagogue."
"04/25/2008","Poway","CA","Vandalism","White supremacist and anti-Semitic remarks and symbols were spray-painted on a synagogue."
"04/24/2008","Bradenton","FL","Vandalism","A Jewish synagogue was vandalized and burglarized for the third time in four days."
"04/24/2008","Alexandria","LA","Legal Developments","Jeremiah Munsen, 18, pleaded guilty to a federal hate crime for his role in using nooses to threaten marchers who participated in the ""Jena Six"" civil rights rally."
"04/24/2008","Boston","MA","Assault","A man was allegedly attacked by another man who yelled anti-gay slurs."
"04/24/2008","Hillsboro","NH","Vandalism","A 13-year-old, two 15-year-olds and two 16-year-olds were charged with criminal mischief for allegedly spray-painting swastikas, hate speech and profanity on an elementary school, a middle school and a playground."
"04/24/2008","New York City","NY","Harassment","Two white men allegedly yelled racial epithets at a black man who was with his white girlfriend and threatened to attack the couple."
"04/23/2008","Montpelier","VT","Legal Developments","Connor Dwyer, 18, and Robert Plunkett, 21, face multiple charges, including burglary, after they allegedly etched swastikas into the powder left by a discharged fire extinguisher in August."
"04/22/2008","Hauppauge","NY","Intimidation","Louis C. Erali, 44, was charged with second-degree reckless endangerment, first-degree harassment and second- degree and third-degree menacing, all classified as bias crimes, for allegedly taunting and yelling racial slurs at a black driver who passed him on the road."
"04/21/2008","San Dimas","CA","Assault","Aaron Mark Duggan, 27, was charged with attempted murder as a hate crime after he allegedly stabbed an Asian man who was walking on a junior high school track with a friend. A 15-year-old boy was also charged with attempted murder, the hate crime allegation, two counts of assault and one count of battery in connection with the incident."
"04/20/2008","Pinole City","CA","Intimidation","A noose was found hanging from a tree at a high school. One student made the noose, while another hung it from the tree."
"04/20/2008","Placedo","TX","Vandalism","Anti-Mormon graffiti and threats were drawn on a Mormon family's residence, car and garage."
"04/19/2008","San Fernando","CA","Arson","A church was set afire."
"04/19/2008","Washington","DC","Rally","About 30 members of the neo-Nazi National Socialist Movement marched near the Capitol."
"04/19/2008","Windsor","WI","Vandalism","The letters 'KKK' were painted on an Asian family's truck and the vehicle's interior was set afire."
"04/18/2008","Fayette City","PA","Assault","Rickey Alan Moore Jr., 27, was charged with ethnic intimidation for allegedly attacking a black man because of his race. Randy Carl Moore, 30, was charged with aggravated assault in connection with the incident."
"04/17/2008","Moorpark","CA","Vandalism","Pentagrams, upside-down crosses and the words ""Hail Satan"" were spray-painted on a church."
"04/17/2008","North Londonderry","PA","Vandalism","Racist symbols and obscenities were written on a family's vehicles."
"04/16/2008","Orlando","FL","Leafletting","Racist fliers were left in a patio area of Valencia Community College."
"04/14/2008","Pittsburgh","PA","Threat","More than a dozen shots were fired at the home of the town's former mayor, who also is a longtime civil rights activist."
"04/14/2008","Bristol","RI","Vandalism","Racist messages were scrawled on the cars of two students and posted on a dormitory wall at Roger Williams University."
"04/14/2008","Jackson","TN","Vandalism","Racial epithets about black people and the phrase 'white power' were written inside a vacant rental house."
"04/13/2008","New York City","NY","Assault","Two men wearing yarmulkes allegedly sprayed a black man with Mace and hit him with a nightstick."
"04/11/2008","Hartford","CT","Harassment","An anonymous letter that contained a racial slur was sent to a black University of Connecticut employee."
"04/11/2008","Champaign","IL","Assault","Benjamin Vanasdlen, 18, was charged with a felony hate crime after he allegedly yelled slurs about a man's perceived sexual orientation and pushed the man down, causing him to strike his head."
"04/10/2008","Grand Forks","ND","Vandalism","A Jewish student at the University of North Dakota allegedly was harassed by a group of fellow students who allegedly used racial slurs and obscenities and drew swastikas in the stairwell of the dorm where the student lives."
"04/10/2008","Rochester","NY","Vandalism","A swastika was found on the outside of an apartment on the campus of the Rochester Institute of Technology and swastika-like symbols were found on six garages in a private alleyway."
"04/10/2008","Roy","WA","Vandalism","Racial slurs were written on train cars and a storage building."
"04/09/2008","Rohnert Park","CA","Vandalism","Racial epithets were written on campus campaign signs at Sonoma State University."
"04/09/2008","Brooksburg","IN","Vandalism","Racist and anti-gay graffiti was painted on a bridge crossing."
"04/09/2008","Bangor","MI","Intimidation","A noose was hung in a restaurant's boiler room and was pointed out to a black cook."
"04/09/2008","Queensbury","NY","Legal Developments","Caleb Lussier, 21, was sentenced to 14 years in federal prison after he pleaded guilty to third-degree arson and committing a hate crime for setting fire to Christ Episcopal Church in May 2006 and to New Testament Church in Plymouth, Mass., in December 2005."
"04/09/2008","Yorktown","NY","Vandalism","Barbara J. Nokaj, 18, Michelle L. Bushell, 17, and a 15-year-old teen were charged with third-degree burglary for drawing a swastika on the wall of a synagogue."
"04/09/2008","Columbus","OH","Threat","David Tuason, 46, was indicted for allegedly threatening to blow up the U.S. Supreme Court and targeting black men known to associate with white women, well-known white women who had relationships with black men, and children of mixed-race parents by sending approximately 200 threats, by mail and E-mail, over a 20-year span."
"04/09/2008","Salem","OR","Vandalism","Swastikas were drawn on a Jewish temple."
"04/09/2008","Seattle","WA","Harassment","Daniel P. Haas, 25, was charged with malicious harassment for allegedly making racist comments to a group of toddlers and attacking a schoolteacher with a brick."
"04/08/2008","West Deptford Township","NJ","Vandalism","Racist graffiti was spray-painted on street signs and utility boxes."
"04/08/2008","Norwich","NY","Vandalism","A Jewish center was vandalized. Three boys, 13 and 14, were charged with burglary, criminal mischief and conspiracy."
"04/07/2008","Pomona","CA","Legal Developments","Ryan Christopher White, 30, was sentenced to 13 years in prison for the attempted murder and assault of a black man in December 2006. Anthony Scott Allen, 24, was sentenced to 10 years in prison in connection with the attack, which occurred the day before White, Allen and a third man, Joseph Dale McCool, were to attend a white supremacist rally in Westwood."
"04/07/2008","Philadelphia","PA","Vandalism","Racist graffiti and swastikas were drawn on an elementary school's mural on diversity."
"04/06/2008","Discovery Bay","CA","Vandalism","Graffiti that contained swastikas, racial epithets and other white supremacist references was spray-painted in three different sections of the city."
"04/06/2008","Oceanside","CA","Vandalism","Atticus Carr, 19, and Desmond Woody, 20, were arrested on suspicion and felony vandalism and hate crimes after they allegedly spray-painted racial slurs in the hall of an apartment complex."
"04/06/2008","San Jose","CA","Vandalism","Two 13-year-old girls were cited and released to their parents after they allegedly wrote anti-Semitic epithets at a residence."
"04/05/2008","Lake Elsinore","CA","Vandalism","William Nye, 18, and a 16-year-old were charged with felonious vandalism to a place of worship as a suspected hate crime for allegedly painting a swastika, the numbers ""666"" and other symbols on a church."
"04/05/2008","Santa Cruz","CA","Vandalism","Anti-Semitic graffiti was spray-painted on a footbridge for the fourth time in several weeks."
"04/05/2008","Elwood","IL","Vandalism","White supremacist phrases and a racial epithet were spray-painted on a playhouse behind the residence of a white woman with a biracial daughter."
"04/05/2008","Wilkes-Barre","PA","Leafletting","A white bed sheet reading 'Preserve Our Heritage' and promoting the racist Keystone State Skinheads was hung from a bridge."
"04/04/2008","Williamsburg","VA","Vandalism","A swastika was spray-painted in a pottery factory."
"04/03/2008","Mesa","AZ","Assault","A Mormon missionary was beaten by two masked people who shouted obscenities and made references to his faith."
"04/03/2008","New Castle","DE","Assault","Two white brothers, Lloyd Walker and David Walker, were charged with assault and committing hate crimes after they allegedly followed a black teenager off a bus and stabbed him in the back while yelling racial slurs."
"04/03/2008","Worcester","MA","Legal Developments","Roger P. West, 67, was arraigned on charges of assault and battery and breaking and entering with intent to commit a misdemeanor after he, his daughter and his son allegedly forced their way into a man's residence, struck him and used anti-gay epithets. West's daughter, Penny G. West, 40, was arraigned on charges of assault with intent to intimidate based on race, color, religion, national origin, sexual orientation or disability. West's son, Roger P. West Jr., was arraigned on a charge of assault with intent to intimidate based on race, color, religion, national origin, sexual orientation or disability in connection with the assault on the second man."
"04/02/2008","Quincy","MA","Assault","Ruben Chavis Jr., 40, was charged with indecent assault and battery and a hate crime after he allegedly assaulted a black woman on a bus then called her a racial epithet."
"04/02/2008","La Plata","MD","Vandalism","The letters 'KKK' were spray-painted on a vehicle in the parking lot of a Greek restaurant."
"04/01/2008","South Windsor","CT","Vandalism","Racist graffiti was painted on a fence at a residence."
"04/01/2008","Rindge","NH","Vandalism","Swastikas and anti-Semitic messages were found painted on the walls and desks of a classroom at Franklin Pierce University."
"03/31/2008","Baton Rouge","LA","Legal Developments","Joshua Steven Hill, who is white, allegedly yelled racial slurs at a black man and assaulted him outside his apartment complex."
"03/31/2008","Brooklyn","NY","Vandalism","Swastikas were painted on several houses in a predominantly Jewish neighborhood."
"03/31/2008","Seattle","WA","Legal Developments","Jason Roan, 28, and Richard Miles, 46, were charged with malicious harassment for allegedly yelling racist insults while beating and robbing a man."
"03/30/2008","Saratoga Springs","NY","Vandalism","A swastika was drawn on a poster promoting a lecture at Skidmore College by former U.S. Attorney General John Ashcroft."
"03/29/2008","Orlando","FL","Assault","A 62-year-old white woman and two of her  mentally-challenged companions were allegedly beaten by four black men in a public park for not paying a fee for being white in the park. Christopher Colbert, Erick Golden, Willie Pritts and Antoniette Boone were charged with a hate crime."
"03/24/2008","Wilbraham","MA","Vandalism","Racist graffiti was found in a boys' bathroom at a high school."
"03/22/2008","Newton","NJ","Intimidation","Rebecca Kinney, a white woman, was charged with bias intimidation for allegedly taunting a black man with a Confederate flag and a sign that referenced the Ku Klux Klan."
"03/22/2008","Seattle","WA","Assault","A black man was allegedly beaten by two white men who yelled racial slurs. Jason Roan, 28, and Richard Miles, 46, were charged with second-degree assault, first-degree robbery and malicious harassment."
"03/21/2008","Incomplete","LA","Leafletting","Bumper stickers with white supremacist slogans were plastered on street signs and light poles."
"03/20/2008","Fontana","CA","Vandalism","Racist graffiti was scrawled on the front window of a black-owned barbershop that was broken into. A couch inside was set afire."
"03/19/2008","Philipston","MA","Vandalism","Anti-religious graffiti was spray-painted on a church."
"03/17/2008","Bronx","NY","Assault","Paula Mergel, 43, was charged with alleged attempted robbery, assault and harassment after she allegedly yelled racial slurs and attempted to choke a cab driver who was an Indian immigrant."
"03/17/2008","Brooklyn","NY","Harassment","Hussein Ali, 19, was charged with grand larceny as a hate crime and aggravated harassment after he allegedly yanked a skullcap off a rabbi's head and shouted an Arabic phrase for ""God is great."""
"03/17/2008","Kutztown","PA","Vandalism","The image of a cross with ""KKK"" on it was spray-painted on a store that sells African art and products."
"03/10/2008","Boulder","CO","Assault","A Latino man leaving a convenience store was allegedly assaulted by two 19- year-old men who accused the man of ""stealing our jobs."" Abraham Paquet was charged with a bias-motivated crime, third-degree assault, robbery and harassment and Joshua Ruzek was charged with suspicion of a bias- motivated crime, harassment and possession/consumption of alcohol by an underage person."
"03/10/2008","Sparta","NJ","Vandalism","Swastikas and anti-Semitic epithets were spray-painted on a high school."
"03/10/2008","Columbia","SC","Assault","Three members of a white family upset that a news crew was reporting on the arrest of a relative allegedly yelled racial slurs and assaulted a black news reporter. Tousha Smith and Billie Joe Taylor, both 31, and Trina Vinson, 48, were arrested on assault and battery charges."
"03/09/2008","Malibu","CA","Threat","A threat targeting seven black male high school students and citing the date of Abraham Lincoln's assassination was written in a boys' bathroom at the school."
"03/07/2008","Southfield","MI","Legal Developments","Three teenage boys were arrested for allegedly participating in attacks on Orthodox Jews as they walked in their neighborhoods during the Jewish Sabbath earlier in the month. A 14-year-old and a 15- year-old were charged with attempted unarmed robbery and another 15-year- old was charged with two counts of assault and battery."
"03/06/2008","Auburn","CA","Legal Developments","Lance Clements, 37, was arrested on hate crime related charges after he allegedly made racial slurs against a black student and a Hispanic student during an altercation."
"03/06/2008","Monument","CO","Harassment","Three seventh-grade boys, all of different ethnicities, allegedly put on hoods and chased a minority youth while shouting ""KKK."" The incident ended in a fight. Two of the three seventh-graders face charges of suspected harassment, while the minority student faces a charge of alleged misdemeanor assault."
"03/05/2008","Alameda","CA","Vandalism","The word ""gay"" was written in mud on the side of a lesbian couple's residence."
"03/02/2008","Iowa City","IA","Vandalism","Racial slurs and threats and pictures of a noose and two black people being lynched were drawn on the apartment door of two black University of Iowa students."
"03/02/2008","Brooklyn","NY","Vandalism","A swastika was found painted in an alley."
"03/01/2008","Long Beach","CA","Assault","A man was allegedly shot by a group of black men and a Latino female was stabbed by a group of black women."
"02/28/2008","Duluth","MN","Vandalism","Swastikas and racist graffiti were drawn on the campus of St. Scholastica College."
"02/26/2008","Huntington Beach","CA","Assault","A 16-year-old teen was beaten by a man who shouted ""Nazi"" and ""I hate Mexicans."""
"02/26/2008","Portland","OR","Intimidation","Flags with swastikas on them were attached to red balloons and let loose over neighborhoods."
"02/24/2008","Florence","AL","Vandalism","The letters ""KKK"" and a racial epithet were spray-painted on the door of a predominantly black church."
"02/24/2008","Unknown","AL","Vandalism","Racial slurs were spray-painted on the door of a church."
"02/24/2008","Los Angeles","CA","Vandalism","Swastikas and other graffiti were spray- painted on the walls and gates of a cheder, a Jewish elementary school building."
"02/24/2008","Fort Lauderdale","FL","Assault","A gay couple was attacked outside a restaurant by a man who yelled anti-gay slurs."
"02/24/2008","St. Paul","MN","Assault","Charles Irwin Johnson, 36, was charged with  suspicion of fifth-degree assault after he allegedly punched a man in the face during  a bus ride after telling the man he didn't like Hispanics."
"02/23/2008","Des Moines","IA","Assault","Two black men were allegedly assaulted by two white men with shaved heads who used racial slurs."
"02/22/2008","Broward","FL","Murder","Simmie Williams, a 17-year-old gay black youth who dressed in women's clothing, was shot to death allegedly by two men."
"02/21/2008","Incomplete","GA","Vandalism","The letters ""KKK"" were painted on a black county commission candidate's campaign sign."
"02/19/2008","Hobart","IN","Vandalism","Racial slurs were spray-painted on the dugouts at a ball park and a skateboarding park near a high school."
"02/19/2008","Fort Thomas","KY","Vandalism","Swastikas, neo-Nazi slogans and anti-police messages were drawn on a shed at a church."
"02/19/2008","Concord","NH","Threat","Threatening hate mail was put in black students' mailboxes at a prep school."
"02/18/2008","West Hills","CA","Vandalism","A Molotov cocktail was thrown at a building at a Jewish center."
"02/17/2008","Lexington","KY","Assault","A man was assaulted outside a gay nightclub by two men who shouted anti-gay slurs."
"02/16/2008","Vacaville","CA","Leafletting","Racist leaflets from the neo-Nazi Church of Jesus Christ Christian/Aryan Nations were left on driveways throughout the city."
"02/15/2008","Philadelphia","PA","Assault","Two men standing outside a Temple University building that had once housed a Jewish fraternity were allegedly assaulted by a group of students who asked the men if they were Jewish, made anti-Semitic remarks and then punched them. Four students were suspended in connection with the incident."
"02/14/2008","Lima","OH","Leafletting","Racist fliers were left at residences."
"02/14/2008","Memphis","TN","Intimidation","An anti-Semitic flier targeting a Jewish congressman who represents a predominantly black district was sent to the congressman and other residents."
"02/14/2008","Waco","TX","Vandalism","A swastika was drawn near the dorm room of a Baylor University student who recently converted to Judaism."
"02/12/2008","Oxnard","CA","Murder","Brandon McInerney, 14, was charged as an adult with first-degree murder and a hate crime for allegedly shooting Lawrence King, an openly gay 15-year-old student, in the head at school."
"02/12/2008","Queens","NY","Vandalism","Racist phrases and the name of stormfront.org, a racist online forum, were written on diversity posters on a college campus."
"02/11/2008","Wilmington","DE","Harassment","Aaron Wright, 32, was charged with a hate crime after he attacked four white men at a hotel, assaulted them while using racial epithets."
"02/11/2008","Vancouver","WA","Vandalism","Racial slurs and profanity was spray-painted on five cars in a neighborhood."
"02/10/2008","Myrtle Beach","SC","Assault","A man was called a racial slur by two white women in a restaurant and then beaten during a fight in the restaurant parking lot."
"02/09/2008","Middletown","PA","Vandalism","Anti-religious phrases were spray-painted on a Catholic church, where a statue of the Virgin Mary was also spray-painted and another statue knocked over."
"02/09/2008","Columbia","TN","Arson","Swastikas were spray-painted on a mosque and Molotov cocktails were thrown at the building. Michael Golden, 23, Eric Baker, 32, and Jonathan Stone, 19, were arrested on federal charges of unlawful possession of a destructive device and state charges of arson of a religious building. Two of the men claim they are followers of the racist, anti- Semitic Christian Identity religion."
"02/07/2008","Anderson","IN","Vandalism","Racist comments, swastikas and a Ku Klux Klan symbol were discovered on the front window of a former grocery store."
"02/06/2008","Unadilla","NY","Intimidation","A noose was hung on the doorknob of a black counselor's room at a school."
"02/05/2008","Queens","NY","Vandalism","Swastikas were spray-painted on several tombstones in a Jewish cemetery."
"02/03/2008","Seattle","WA","Assault","A gay couple was attacked by three young men who used anti-gay slurs."
"02/01/2008","Franklin","TN","Vandalism","A racial slur and a noose made from string were found in a middle school restroom."
"01/31/2008","Paxton","MA","Vandalism","Racist and anti-Semitic graffiti was written inside a co-ed residence at Anna Maria College."
"01/30/2008","Hoboken","NJ","Intimidation","Carrie Covello, 37, was charged with bias intimidation and harassment after he allegedly attempted to rip a Sikh man's turban off his head."
"01/30/2008","Paramus","NJ","Legal Developments","Peter T. Lisa, 55, was charged with bias intimidation by committing arson, aggravated arson and two counts of criminal mischief after Lisa, in 2006, allegedly vandalized and set afire the residence of a Latino man he may have believed was black."
"01/29/2008","Cooper City","FL","Vandalism","A swastika was scratched into the hood of a car owned by a Jewish female campaign aide to the city's mayor, who is also a Jewish woman."
"01/29/2008","Monroe","LA","Assault","Raymond G. Hodges, a 40-year-old white man, was charged with attempted second-degree murder and a hate crime for allegedly shooting a black woman in the head and face at a stoplight, stating that God will bring her back as white."
